experiment_id,dataset,experiment_dir,tau_radius,tau_lr,units,unit_size,fwt,bwt,AA,LA,FM,mem
32,fashion,grid_search_fashion_32,8.0,45.0,10,28,0.0,-0.18388885,0.6290000081062317,0.7945,0.1655,168.0
33,fashion,grid_search_fashion_33,8.0,45.0,10,28,0.0,-0.2361111,0.28689998388290405,0.4994,0.3452,168.0
34,fashion,grid_search_fashion_34,8.0,45.0,10,28,0.0,-0.08144444,0.461899995803833,0.5352,0.1163,168.0
35,fashion,grid_search_fashion_35,8.0,45.0,10,28,0.0,-0.17444447,0.3140999972820282,0.4711,0.31680003,168.0
36,fashion,grid_search_fashion_36,8.0,45.0,10,28,0.0,-0.22911112,0.47540003061294556,0.6816,0.20639999,168.0
37,fashion,grid_search_fashion_37,8.0,45.0,10,28,0.0,-0.3306667,0.14190000295639038,0.4395,0.44290003,168.0
38,fashion,grid_search_fashion_38,8.0,45.0,10,28,0.0,-0.227,0.4505999982357025,0.65489995,0.2046,168.0
39,fashion,grid_search_fashion_39,8.0,45.0,10,28,0.0,-0.2853333,0.1988999843597412,0.4557,0.45409998,168.0
40,fashion,grid_search_fashion_40,8.0,45.0,10,28,0.0,-0.16966668,0.5666999816894531,0.71940005,0.1534,168.0
41,fashion,grid_search_fashion_41,8.0,45.0,10,28,0.0,-0.2608889,0.12810000777244568,0.3629,0.4138,168.0
42,fashion,grid_search_fashion_42,8.0,45.0,10,28,0.0,-0.2488889,0.4355999827384949,0.65959996,0.22399998,168.0
43,fashion,grid_search_fashion_43,8.0,45.0,10,28,0.0,-0.193,0.18469999730587006,0.35840002,0.3473,168.0
44,fashion,grid_search_fashion_44,8.0,45.0,10,28,0.0,-0.24999997,0.520799994468689,0.7458,0.2251,168.0
45,fashion,grid_search_fashion_45,8.0,45.0,10,28,0.0,-0.21077777,0.1177000030875206,0.30740002,0.32130003,168.0
46,fashion,grid_search_fashion_46,8.0,45.0,10,28,0.0,-0.1901111,0.46470004320144653,0.6358,0.1875,168.0
47,fashion,grid_search_fashion_47,8.0,45.0,10,28,0.0,-0.2327778,0.11799999326467514,0.32750002,0.4268,168.0
48,fashion,grid_search_fashion_48,8.0,45.0,15,28,0.0,-0.18933333,0.715399980545044,0.8858,0.1704,168.0
49,fashion,grid_search_fashion_49,8.0,45.0,15,28,0.0,-0.19577777,0.3646000027656555,0.5408,0.3412,168.0
50,fashion,grid_search_fashion_50,8.0,45.0,15,28,0.0,-0.165,0.7105000615119934,0.859,0.1485,168.0
51,fashion,grid_search_fashion_51,8.0,45.0,15,28,0.0,-0.33677778,0.2995000183582306,0.6026,0.39810002,168.0
52,fashion,grid_search_fashion_52,8.0,45.0,15,28,0.0,-0.124777764,0.7662999629974365,0.8786,0.1125,168.0
53,fashion,grid_search_fashion_53,8.0,45.0,15,28,0.0,-0.2051111,0.3520999848842621,0.53669995,0.2813,168.0
54,fashion,grid_search_fashion_54,8.0,45.0,15,28,0.0,-0.10355556,0.6827999949455261,0.776,0.0932,168.0
55,fashion,grid_search_fashion_55,8.0,45.0,15,28,0.0,-0.2778889,0.2789999842643738,0.52909994,0.34289998,168.0
56,fashion,grid_search_fashion_56,8.0,45.0,15,28,0.0,-0.15200001,0.738099992275238,0.8749,0.1369,168.0
57,fashion,grid_search_fashion_57,8.0,45.0,15,28,0.0,-0.27600002,0.149399995803833,0.3978,0.463,168.0
58,fashion,grid_search_fashion_58,8.0,45.0,15,28,0.0,-0.15466666,0.7210999727249146,0.86029994,0.1392,168.0
59,fashion,grid_search_fashion_59,8.0,45.0,15,28,0.0,-0.18555555,0.22010000050067902,0.3871,0.3926,168.0
60,fashion,grid_search_fashion_60,8.0,45.0,15,28,0.0,-0.17166668,0.7175000309944153,0.87200004,0.1546,168.0
61,fashion,grid_search_fashion_61,8.0,45.0,15,28,0.0,-0.17222221,0.18709999322891235,0.3421,0.3607,168.0
62,fashion,grid_search_fashion_62,8.0,45.0,15,28,0.0,-0.11533332,0.6517999768257141,0.7556,0.103799984,168.0
63,fashion,grid_search_fashion_63,8.0,45.0,15,28,0.0,-0.27466667,0.11960001289844513,0.3668,0.53690004,168.0
64,kmnist,grid_search_kmnist_64,8.0,45.0,10,28,0.0,-0.13522223,0.4956999719142914,0.61740005,0.1219,168.0
65,kmnist,grid_search_kmnist_65,8.0,45.0,10,28,0.0,-0.26722223,0.13379999995231628,0.37429997,0.36569998,168.0
66,kmnist,grid_search_kmnist_66,8.0,45.0,10,28,0.0,-0.18900003,0.4700000286102295,0.64010006,0.1708,168.0
67,kmnist,grid_search_kmnist_67,8.0,45.0,10,28,0.0,-0.2847778,0.14239999651908875,0.3987,0.30539998,168.0
68,kmnist,grid_search_kmnist_68,8.0,45.0,10,28,0.0,-0.15599999,0.469400018453598,0.6098,0.14039999,168.0
69,kmnist,grid_search_kmnist_69,8.0,45.0,10,28,0.0,-0.34433332,0.10850000381469727,0.4184,0.4206,168.0
70,kmnist,grid_search_kmnist_70,8.0,45.0,10,28,0.0,-0.15333334,0.3921000063419342,0.5301,0.13909999,168.0
71,kmnist,grid_search_kmnist_71,8.0,45.0,10,28,0.0,-0.24400002,0.15000000596046448,0.3696,0.3047,168.0
72,kmnist,grid_search_kmnist_72,8.0,45.0,10,28,0.0,-0.16566665,0.47300004959106445,0.6221,0.14909999,168.0
73,kmnist,grid_search_kmnist_73,8.0,45.0,10,28,0.0,-0.23311111,0.11540000140666962,0.32520002,0.2645,168.0
74,kmnist,grid_search_kmnist_74,8.0,45.0,10,28,0.0,-0.11655556,0.426800012588501,0.5317,0.10580001,168.0
75,kmnist,grid_search_kmnist_75,8.0,45.0,10,28,0.0,-0.24544446,0.12770000100135803,0.34859997,0.3637,168.0
76,kmnist,grid_search_kmnist_76,8.0,45.0,10,28,0.0,-0.16488892,0.4811999797821045,0.6296,0.14860001,168.0
77,kmnist,grid_search_kmnist_77,8.0,45.0,10,28,0.0,-0.23688889,0.1331000030040741,0.3463,0.3536,168.0
78,kmnist,grid_search_kmnist_78,8.0,45.0,10,28,0.0,-0.1631111,0.3884999752044678,0.5353,0.14690001,168.0
79,kmnist,grid_search_kmnist_79,8.0,45.0,10,28,0.0,-0.26488888,0.09390000253915787,0.3323,0.3252,168.0
80,kmnist,grid_search_kmnist_80,8.0,45.0,15,28,0.0,-0.11633333,0.7091000080108643,0.81380004,0.105,168.0
81,kmnist,grid_search_kmnist_81,8.0,45.0,15,28,0.0,-0.33644447,0.2392999827861786,0.54209995,0.34100002,168.0
82,kmnist,grid_search_kmnist_82,8.0,45.0,15,28,0.0,-0.14522222,0.6180000305175781,0.7487,0.13069999,168.0
83,kmnist,grid_search_kmnist_83,8.0,45.0,15,28,0.0,-0.29122224,0.19920000433921814,0.4613,0.3289,168.0
84,kmnist,grid_search_kmnist_84,8.0,45.0,15,28,0.0,-0.09255555,0.679099977016449,0.76240003,0.0851,168.0
85,kmnist,grid_search_kmnist_85,8.0,45.0,15,28,0.0,-0.3826667,0.15870000422000885,0.50310004,0.39239997,168.0
86,kmnist,grid_search_kmnist_86,8.0,45.0,15,28,0.0,-0.13844444,0.5976999998092651,0.72229993,0.12650001,168.0
